"id";"Day";"Len";"State";"EV";"Dem";"GOP";"Ind";"Date";"Pollster"
89;17.5;4;"Delaware";3;56;40;"";"Jan-19";"Gonzales Research-4"
90;279.0;3;"Florida";29;49;44;"";"Oct-06";"Redfield and Wilton Strategies-3"
91;277.0;5;"Florida";29;51;40;"";"Oct-05";"Quinnipiac U.-5"
92;277.0;9;"Florida";29;49;45;"";"Oct-07";"Ipsos-9"
93;276.5;4;"Florida";29;45;45;"";"Oct-04";"Suffolk U.-4"
94;276.5;4;"Florida";29;51;45;"";"Oct-04";"U. of North Florida-4"
95;274.5;2;"Florida";29;47;42;"";"Oct-01";"Siena Coll.-2"
96;273.5;6;"Florida";29;50;44;"";"Oct-02";"St. Leo University-6"
97;268.0;3;"Florida";29;48;43;"";"Sep-25";"Redfield and Wilton Strategies-3"
98;265.5;2;"Florida";29;50;47;"";"Sep-22";"St. Pete polls-2"
99;261.5;6;"Florida";29;47;51;"";"Sep-20";"Langer Research-6"
100;260.5;4;"Florida";29;48;46;"";"Sep-18";"YouGov-4"
101;257.5;6;"Florida";29;47;47;"";"Sep-16";"Ipsos-6"
102;257.0;3;"Florida";29;47;44;"";"Sep-14";"Redfield and Wilton Strategies-3"
103;255.5;2;"Florida";29;50;50;"";"Sep-12";"Florida Atlantic U.-2"
104;255.5;4;"Florida";29;50;45;"";"Sep-13";"Monmouth U.-4"
105;251.5;2;"Florida";29;50;47;"";"Sep-08";"St. Pete polls-2"
106;249.5;16;"Florida";29;43;42;"";"Sep-13";"Kaiser/Cook-16"
107;247.5;10;"Florida";29;48;46;"";"Sep-08";"Benenson Strategy/GS Strategy-10"
108;247.0;7;"Florida";29;48;48;"";"Sep-06";"Marist Coll.-7"
109;245.0;5;"Florida";29;47;44;"";"Sep-03";"Redfield and Wilton Strategies-5"
110;243.0;5;"Florida";29;48;45;"";"Sep-01";"Quinnipiac U.-5"
111;238.5;10;"Florida";29;49;47;"";"Aug-30";"Morning Consult-10"
112;236.5;6;"Florida";29;50;43;"";"Aug-26";"Opinium-6"
113;234.5;2;"Florida";29;48;44;"";"Aug-22";"PPP-2"
114;229.0;1;"Florida";29;49;41;"";"Aug-16";"Redfield and Wilton Strategies-1"
115;204.0;3;"Florida";29;43;43;"";"Jul-23";"Zogby Analytics-3"
116;203.5;4;"Florida";29;50;46;"";"Jul-23";"Mason Dixon-4"
117;203.5;10;"Florida";29;49;46;"";"Jul-26";"Morning Consult-10"
118;203.0;7;"Florida";29;51;46;"";"Jul-24";"SSRS-7"
119;202.0;3;"Florida";29;48;41;"";"Jul-21";"Redfield and Wilton Strategies-3"
120;200.0;5;"Florida";29;51;38;"";"Jul-20";"Quinnipiac U.-5"
121;195.5;2;"Florida";29;50;44;"";"Jul-14";"St. Pete polls-2"
122;190.5;4;"Florida";29;48;42;"";"Jul-10";"YouGov-4"
123;173.5;4;"Florida";29;49;40;"";"Jun-23";"Fox News-4"
124;166.5;2;"Florida";29;45;41;"";"Jun-15";"Redfield and Wilton Strategies-2"
125;165.0;11;"Florida";29;47;41;"";"Jun-18";"Siena Coll.-11"
126;162.0;3;"Florida";29;51;40;"";"Jun-11";"TIPP-3"
127;147.5;2;"Florida";29;48;47;"";"May-27";"St. Pete Polls-2"
128;145.0;13;"Florida";29;47;44;"";"May-30";"Cygnal-13"
129;133.0;5;"Florida";29;45;43;"";"May-14";"Redfield and Wilton Strategies-5"
130;131.0;5;"Florida";29;53;47;"";"May-12";"Florida Atlantic U.-5"
131;110.5;4;"Florida";29;46;43;"";"Apr-21";"Fox News-4"
132;109.0;5;"Florida";29;46;42;"";"Apr-20";"Quinnipiac U.-5"
133;107.5;2;"Florida";29;48;48;"";"Apr-17";"St. Pete Polls-2"
134;93.0;5;"Florida";29;46;40;"";"Apr-04";"U. of North Florida-5"
135;75.0;3;"Florida";29;45;45;"";"Mar-16";"AtlasIntel-3"
136;69.0;7;"Florida";29;45;48;"";"Mar-12";"Latino Decisions-7"
137;66.0;3;"Florida";29;49;51;"";"Mar-07";"Florida Atlantic U.-3"
138;45.0;9;"Florida";29;49;48;"";"Feb-18";"U. of North Florida-9"
139;10.5;4;"Florida";29;51;49;"";"Jan-12";"Florida Atlantic U.-4"
140;282.5;2;"Georgia";16;47;46;"";"Oct-09";"PPP-2"
141;275.5;10;"Georgia";16;46;48;"";"Oct-06";"U. of Georgia.-10"
142;271.5;4;"Georgia";16;50;47;"";"Sep-29";"Civiqs-4"
143;269.0;5;"Georgia";16;50;47;"";"Sep-27";"Quinnipiac U.-5"
144;268.5;4;"Georgia";16;45;44;"";"Sep-26";"Redfield and Wilton Strategies-4"
145;267.5;4;"Georgia";16;46;47;"";"Sep-25";"YouGov-4"
146;263.0;5;"Georgia";16;46;48;"";"Sep-21";"Monmouth U.-5"
147;262.5;6;"Georgia";16;45;45;"";"Sep-21";"Siena Coll.-6"
148;259.5;10;"Georgia";16;47;47;"";"Sep-20";"U. of Georgia-10"
149;258.0;5;"Georgia";16;45;46;"";"Sep-16";"Redfield and Wilton Strategies-5"
150;246.0;7;"Georgia";16;47;46;"";"Sep-05";"Fabrizio Ward/Hart Research-7"
151;238.5;10;"Georgia";16;49;46;"";"Aug-30";"Morning Consult-10"
152;238.0;11;"Georgia";16;52;46;"";"Aug-30";"HarrisX-11"
153;237.5;2;"Georgia";16;47;46;"";"Aug-25";"PPP-2"
154;220.0;3;"Georgia";16;46;44;"";"Aug-08";"SurveyUSA-3"
155;211.5;4;"Georgia";16;46;45;"";"Jul-31";"YouGov-4"
156;207.0;5;"Georgia";16;47;48;"";"Jul-27";"Monmouth U.-5"
157;205.5;2;"Georgia";16;46;45;"";"Jul-24";"PPP-2"
158;203.5;10;"Georgia";16;47;46;"";"Jul-26";"Morning Consult-10"
159;177.5;2;"Georgia";16;49;45;"";"Jun-26";"PPP-2"
160;173.5;4;"Georgia";16;47;45;"";"Jun-23";"Fox News-4"
161;164.5;2;"Georgia";16;48;46;"";"Jun-13";"PPP-2"
162;145.0;7;"Georgia";16;40;44;"";"May-27";"TargetSmart-7"
163;138.0;3;"Georgia";16;48;47;"";"May-18";"Civiqs-3"
164;117.0;3;"Georgia";16;44;45;"";"Apr-27";"Cygnal-3"
165;58.5;8;"Georgia";16;43;51;"";"Mar-02";"U. of Georgia-8"
166;2.0;1;"Hawaii";4;65;28;"";"Jan-02";"Election 2016-1"
167;2.0;1;"Idaho";4;29;58;"";"Jan-02";"Election 2016-1"
168;268.5;4;"Illinois";20;53;40;"";"Sep-26";"Victory Research-4"
169;210.5;10;"Indiana";11;38;55;"";"Aug-02";"Morning Consult-10"
170;143.0;3;"Indiana";11;39;49;"";"May-23";"Victoria Research-3"
171;102.5;4;"Indiana";11;39;52;"";"Apr-13";"Change Research-4"
172;278.5;4;"Iowa";6;48;47;"";"Oct-06";"Civiqs-4"
173;277.0;5;"Iowa";6;50;45;"";"Oct-05";"Quinnipiac U.-5"
174;268.5;4;"Iowa";6;48;46;"";"Sep-26";"RABA Research-4"
175;264.0;5;"Iowa";6;46;49;"";"Sep-22";"Monmouth U.-5"
176;263.0;7;"Iowa";6;45;42;"";"Sep-22";"Siena Coll.-7"
177;259.5;4;"Iowa";6;47;47;"";"Sep-17";"Selzer-4"
178;246.0;7;"Iowa";6;45;47;"";"Sep-05";"Fabrizio Ward/Hart Research-7"
179;214.0;5;"Iowa";6;46;48;"";"Aug-03";"Monmouth U.-5"
180;210.5;4;"Iowa";6;40;41;"";"Jul-30";"RMG Research-4"
181;205.5;2;"Iowa";6;47;48;"";"Jul-24";"PPP-2"
182;160.5;4;"Iowa";6;43;44;"";"Jun-10";"Selzer-4"
183;159.0;3;"Iowa";6;46;46;"";"Jun-08";"Civiqs-3"
184;155.5;2;"Iowa";6;47;48;"";"Jun-04";"PPP-2"
185;121.5;2;"Iowa";6;46;48;"";"May-01";"PPP-2"
186;63.5;4;"Iowa";6;41;51;"";"Mar-05";"Selzer-4"
187;21.5;4;"Iowa";6;44;46;"";"Jan-23";"Siena Coll.-4"
188;271.5;4;"Kansas";6;42;52;"";"Sep-29";"Civiqs-4"
189;220.0;5;"Kansas";6;41;48;"";"Aug-09";"SurveyUSA-5"
190;218.5;2;"Kansas";6;43;50;"";"Aug-06";"PPP-2"
191;152.0;3;"Kansas";6;40;52;"";"Jun-01";"Civiqs-3"
192;70.5;2;"Kansas";6;40;52;"";"Mar-11";"PPP-2"
193;33.5;8;"Kansas";6;43;51;"";"Feb-06";"DFM Research-8"
194;256.0;5;"Kentucky";8;38;58;"";"Sep-14";"Quinnipiac U.-5"
195;214.0;5;"Kentucky";8;41;50;"";"Aug-03";"Quinnipiac U.-5"
196;210.5;10;"Kentucky";8;35;59;"";"Aug-02";"Morning Consult-10"
197;166.0;3;"Kentucky";8;37;57;"";"Jun-15";"Civiqs-3"
198;143.5;4;"Kentucky";8;36;53;"";"May-24";"RMG Research-4"
199;135.5;2;"Kentucky";8;39;55;"";"May-15";"PPP-2"
200;2.0;1;"Louisiana";8;38;58;"";"Jan-02";"Election 2016-1"
201;273.5;10;"Maine";4;51;40;"";"Oct-04";"Critical Insights-10"
202;264.0;7;"Maine";4;50;39;"";"Sep-23";"Colby Coll.-7"
203;262.5;4;"Maine";4;51;39;"";"Sep-20";"Suffolk U.-4"
204;257.5;6;"Maine";4;55;38;"";"Sep-16";"Siena Coll.-6"
205;256.0;5;"Maine";4;59;38;"";"Sep-14";"Quinnipiac U.-5"
206;246.0;7;"Maine";4;54;40;"";"Sep-05";"Fabrizio Ward/Hart Research-7"
207;216.0;13;"Maine";4;45;38;"";"Aug-09";"Critical Insights-13"
208;214.0;5;"Maine";4;52;37;"";"Aug-03";"Quinnipiac U.-5"
209;212.0;7;"Maine";4;50;39;"";"Aug-02";"RMG Research-7"
210;205.5;2;"Maine";4;53;42;"";"Jul-24";"PPP-2"
211;203.0;7;"Maine";4;50;38;"";"Jul-24";"Colby College-7"
212;184.5;2;"Maine";4;53;42;"";"Jul-03";"PPP-2"
213;62.5;2;"Maine";4;52;42;"";"Mar-03";"PPP-2"
214;276.0;5;"Maryland";10;61;30;"";"Oct-04";"Goucher College-5"
215;251.5;8;"Maryland";10;62;30;"";"Sep-11";"OpinionWorks-8"
216;142.0;5;"Maryland";10;59;35;"";"May-23";"Gonzales Research-5"
217;47.0;7;"Maryland";10;60;35;"";"Feb-19";"Goucher Coll.-7"
218;239.0;3;"Massachusetts";11;69;31;"";"Aug-27";"Emerson Coll.-3"
219;220.5;4;"Massachusetts";11;63;27;"";"Aug-09";"MassINC-4"
220;216.5;8;"Massachusetts";11;61;28;"";"Aug-07";"YouGov-8"
221;200.5;4;"Massachusetts";11;55;23;"";"Jul-20";"MassINC-4"
222;126.5;2;"Massachusetts";11;67;33;"";"May-06";"Emerson Coll.-2"
223;120.0;5;"Massachusetts";11;58;30;"";"May-01";"U. of Mass.-5"
224;96.5;4;"Massachusetts";11;69;31;"";"Apr-07";"Emerson Coll.-4"
225;280.5;2;"Michigan";16;54;43;"";"Oct-07";"Emerson Coll.-2"
226;279.0;3;"Michigan";16;50;42;"";"Oct-06";"Redfield and Wilton Strategies-3"
227;278.0;9;"Michigan";16;50;43;"";"Oct-08";"Baldwin Wallace U.-9"
228;276.5;8;"Michigan";16;51;43;"";"Oct-06";"Ipsos-8"
229;275.5;4;"Michigan";16;48;39;"";"Oct-03";"Glengariff Group-4"
230;274.5;2;"Michigan";16;50;44;"";"Oct-01";"PPP-2"
231;268.5;4;"Michigan";16;51;42;"";"Sep-26";"Redfield and Wilton Strategies-4"
232;265.0;5;"Michigan";16;52;44;"";"Sep-23";"Marist Coll.-5"
233;260.5;6;"Michigan";16;46;41;"";"Sep-19";"Marketing Resource Grp.-6"
234;259.5;12;"Michigan";16;51;45;"";"Sep-21";"YouGov-12"
235;259.0;15;"Michigan";16;50;42;"";"Sep-22";"Baldwin Wallace U.-15"
236;257.5;6;"Michigan";16;49;44;"";"Sep-16";"Ipsos-6"
237;257.0;3;"Michigan";16;49;39;"";"Sep-14";"Redfield and Wilton Strategies-3"
238;257.0;5;"Michigan";16;53;42;"";"Sep-15";"Civiqs-5"
239;256.5;6;"Michigan";16;48;40;"";"Sep-15";"EPIC-MRA-6"
240;246.5;2;"Michigan";16;53;44;"";"Sep-03";"Pulse Opinion Research-2"
241;246.5;12;"Michigan";16;50;43;"";"Sep-08";"Benenson Strategy/GS Strategy-12"
242;246.0;3;"Michigan";16;47;42;"";"Sep-03";"Glengariff Group-3"
243;245.0;5;"Michigan";16;51;40;"";"Sep-03";"Redfield and Wilton Strategies-5"
244;241.5;2;"Michigan";16;48;44;"";"Aug-29";"PPP-2"
245;238.5;10;"Michigan";16;52;42;"";"Aug-30";"Morning Consult-10"
246;230.0;3;"Michigan";16;50;38;"";"Aug-18";"Redfield and Wilton Strategies-3"
247;228.0;5;"Michigan";16;49;46;"";"Aug-17";"Civiqs-5"
248;214.0;11;"Michigan";16;47;43;"";"Aug-06";"YouGov-11"
249;210.5;2;"Michigan";16;49;43;"";"Jul-29";"PPP-2"
250;209.5;6;"Michigan";16;51;40;"";"Jul-30";"EPIC-MRA-6"
251;204.5;4;"Michigan";16;48;42;"";"Jul-24";"YouGov-4"
252;203.5;6;"Michigan";16;49;37;"";"Jul-24";"Redfield and Wilton Strategies-6"
253;203.5;10;"Michigan";16;52;42;"";"Jul-26";"Morning Consult-10"
254;203.0;7;"Michigan";16;52;40;"";"Jul-24";"SSRS-7"
255;201.0;3;"Michigan";16;49;40;"";"Jul-20";"Fox News-3"
256;191.5;2;"Michigan";16;51;44;"";"Jul-10";"PPP-2"
257;178.5;2;"Michigan";16;50;44;"";"Jun-27";"PPP-2"
258;167.0;3;"Michigan";16;47;36;"";"Jun-16";"Redfield and Wilton Strategies-3"
259;164.5;10;"Michigan";16;47;36;"";"Jun-17";"Siena Coll.-10"
260;162.5;4;"Michigan";16;51;38;"";"Jun-12";"TIPP-4"
261;155.5;8;"Michigan";16;50;35;"";"Jun-07";"Kiaer Research-8"
262;153.0;5;"Michigan";16;53;41;"";"Jun-03";"EPIC-MRA-5"
263;150.5;2;"Michigan";16;50;44;"";"May-30";"PPP-2"
264;139.5;2;"Michigan";16;51;45;"";"May-19";"PPP-2"
265;133.0;5;"Michigan";16;47;39;"";"May-14";"Redfield and Wilton Strategies-5"
266;119.5;2;"Michigan";16;50;42;"";"Apr-29";"PPP-2"
267;111.5;2;"Michigan";16;51;44;"";"Apr-21";"PPP-2"
268;110.5;4;"Michigan";16;49;41;"";"Apr-21";"Fox News-4"
269;108.5;6;"Michigan";16;46;38;"";"Apr-20";"Ipsos-6"
270;81.0;9;"Michigan";16;47;42;"";"Mar-25";"Baldwin Wallace U.-9"
271;78.0;5;"Michigan";16;44;41;"";"Mar-20";"Marketing Resource-5"
272;68.0;3;"Michigan";16;44;46;"";"Mar-09";"AtlasIntel-3"
273;67.0;3;"Michigan";16;45;41;"";"Mar-08";"YouGov-3"
274;66.5;4;"Michigan";16;48;41;"";"Mar-08";"Monmouth U.-4"
275;46.5;10;"Michigan";16;46;43;"";"Feb-20";"YouGov-10"
276;46.0;7;"Michigan";16;47;43;"";"Feb-18";"Quinnipiac U.-7"
277;43.0;13;"Michigan";16;43;43;"";"Feb-18";"Expedition Strategies-13"
278;10.5;4;"Michigan";16;50;44;"";"Jan-12";"EPIC-MRA-4"
279;5.0;5;"Michigan";16;50;43;"";"Jan-07";"Glengariff-5"
280;277.5;6;"Minnesota";10;47;40;"";"Oct-06";"SurveyUSA-6"
281;266.0;3;"Minnesota";10;48;42;"";"Sep-23";"Mason Dixon-3"
282;266.0;5;"Minnesota";10;47;40;"";"Sep-24";"Suffolk U.-5"
283;258.5;6;"Minnesota";10;51;42;"";"Sep-17";"Redfield and Wilton Strategies-6"
284;254.5;6;"Minnesota";10;57;41;"";"Sep-13";"Langer Research-6"
285;254.0;3;"Minnesota";10;50;41;"";"Sep-11";"YouGov-3"
286;253.0;3;"Minnesota";10;50;41;"";"Sep-10";"Siena Coll.-3"
287;252.5;10;"Minnesota";10;48;44;"";"Sep-13";"Morning Consult-10"
288;249.5;4;"Minnesota";10;49;40;"";"Sep-07";"SurveyUSA-4"
289;247.5;2;"Minnesota";10;52;44;"";"Sep-04";"PPP-2"
290;238.5;10;"Minnesota";10;50;43;"";"Aug-30";"Morning Consult-10"
291;222.0;3;"Minnesota";10;51;49;"";"Aug-10";"Emerson Coll.-3"
292;204.5;2;"Minnesota";10;52;42;"";"Jul-23";"PPP-2"
293;203.5;10;"Minnesota";10;47;44;"";"Jul-26";"Morning Consult-10"
294;201.0;3;"Minnesota";10;51;38;"";"Jul-20";"Fox News-3"
295;140.0;3;"Minnesota";10;49;44;"";"May-20";"Mason-Dixon Polling-3"
296;58.0;3;"Mississippi";6;41;56;"";"Feb-28";"Mason-Dixon-3"
297;260.5;2;"Missouri";10;45;53;"";"Sep-17";"Missouri Scout-2"
298;246.0;3;"Missouri";10;44;49;"";"Sep-03";"We Ask America-3"
299;179.0;9;"Missouri";10;43;50;"";"Jul-01";"YouGov-9"
300;147.5;2;"Missouri";10;44;48;"";"May-27";"We Ask America-2"
301;57.5;2;"Missouri";10;42;52;"";"Feb-27";"Remington Research-2"
302;280.0;3;"Montana";3;43;56;"";"Oct-07";"Emerson Coll.-3"
303;259.0;3;"Montana";3;42;49;"";"Sep-16";"Siena Coll.-3"
304;246.0;7;"Montana";3;43;50;"";"Sep-05";"Fabrizio Ward/Hart Research-7"
305;214.0;3;"Montana";3;42;53;"";"Aug-02";"Emerson Coll.-3"
306;205.5;2;"Montana";3;45;50;"";"Jul-24";"PPP-2"
307;194.0;3;"Montana";3;45;49;"";"Jul-13";"Civiqs-3"
308;191.5;2;"Montana";3;42;51;"";"Jul-10";"PPP-2"
309;173.5;10;"Montana";3;38;52;"";"Jun-26";"U. of Montana-10"
310;109.5;18;"Montana";3;40;45;"";"Apr-27";"Montana State U.-18"
311;48.0;11;"Montana";3;34;46;"";"Feb-22";"U. of Montana-11"
312;2.0;1;"Nebraska";5;33;61;"";"Jan-02";"Election 2016-1"
313;278.0;5;"Nevada";6;48;42;"";"Oct-06";"Siena Coll.-5"
314;265.5;4;"Nevada";6;52;41;"";"Sep-23";"Fox News-4"
315;261.5;16;"Nevada";6;46;41;"";"Sep-25";"U. of Nevada-16"
316;253.0;3;"Nevada";6;46;42;"";"Sep-10";"Siena Coll.-3"
317;238.0;11;"Nevada";6;44;39;"";"Aug-30";"U. of Nevada-11"
318;51.0;3;"Nevada";6;44;41;"";"Feb-21";"AtlasIntel-3"
319;6.5;4;"Nevada";6;47;39;"";"Jan-08";"Fox News-4"
320;276.5;4;"New Hampshire";4;53;41;"";"Oct-04";"St. Anselm Coll.-4"
321;274.5;2;"New Hampshire";4;53;45;"";"Oct-01";"Emerson Coll.-2"
322;270.5;4;"New Hampshire";4;53;44;"";"Sep-28";"ARG-4"
323;270.0;5;"New Hampshire";4;53;44;"";"Sep-28";"U. of New Hampshire-5"
324;268.0;3;"New Hampshire";4;56;42;"";"Sep-25";"Pulse Opinion Research-3"
325;265.0;9;"New Hampshire";4;53;44;"";"Sep-25";"U. of Mass.-9"
326;253.5;4;"New Hampshire";4;45;42;"";"Sep-11";"Siena Coll.-4"
327;229.0;3;"New Hampshire";4;51;43;"";"Aug-17";"St. Anselm Coll.-3"
328;204.0;13;"New Hampshire";4;53;40;"";"Jul-28";"U. of New Hampshire-13"
329;172.0;5;"New Hampshire";4;52;39;"";"Jun-22";"U. of New Hampshire-5"
330;166.5;4;"New Hampshire";4;49;42;"";"Jun-16";"St. Anselm College-4"
331;137.0;5;"New Hampshire";4;44;46;"";"May-18";"U. of New Hampshire-5"
332;116.0;5;"New Hampshire";4;50;42;"";"Apr-27";"St. Anselm College-5"
333;53.0;7;"New Hampshire";4;44;46;"";"Feb-25";"U. of New Hampshire-7"
334;40.0;3;"New Hampshire";4;44;46;"";"Feb-10";"AtlasIntel-3"
335;21.5;4;"New Hampshire";4;51;43;"";"Jan-23";"Marist Coll.-4"
336;276.5;6;"New Jersey";14;53;38;"";"Oct-05";"Fairleigh Dickinson U.-6"
337;249.5;4;"New Jersey";14;58;40;"";"Sep-07";"Emerson Coll.-4"
338;222.0;9;"New Jersey";14;52;33;"";"Aug-13";"DKC Analytics-9"
339;191.5;6;"New Jersey";14;51;33;"";"Jul-12";"DKC Analytics-6"
340;123.0;5;"New Jersey";14;54;35;"";"May-04";"Quinnipiac U.-5"
341;118.0;11;"New Jersey";14;56;33;"";"May-02";"Rutgers-Eagleton-11"
