"id";"Day";"Len";"State";"EV";"Dem";"GOP";"Ind";"Date";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"Pollster"
72;89.0;11;"Connecticut";7;47;34;"";"Apr 03";"";"";"";"";"";"";"";"Sacred Heart U.-11"
73;63.5;18;"Connecticut";7;52;36;"";"Mar 12";"";"";"";"";"";"";"";"Sacred Heart U.-18"
74;2.0;1;"D.C.";3;93;4;"";"Jan 02";"";"";"";"";"";"";"";"Election 2016-1"
75;234.5;2;"Delaware";3;58;37;"";"Aug 22";"";"";"";"";"";"";"";"PPP-2"
76;17.5;4;"Delaware";3;56;40;"";"Jan 19";"";"";"";"";"";"";"";"Gonzales Research-4"
77;265.5;2;"Florida";29;50;47;"";"Sep 22";"";"";"";"";"";"";"";"St. Pete polls-2"
78;261.5;6;"Florida";29;47;51;"";"Sep 20";"";"";"";"";"";"";"";"Langer Research-6"
79;260.5;4;"Florida";29;48;46;"";"Sep 18";"";"";"";"";"";"";"";"YouGov-4"
80;257.5;6;"Florida";29;47;47;"";"Sep 16";"";"";"";"";"";"";"";"Ipsos-6"
81;257.0;3;"Florida";29;47;44;"";"Sep 14";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
82;255.5;2;"Florida";29;50;50;"";"Sep 12";"";"";"";"";"";"";"";"Florida Atlantic U.-2"
83;255.5;4;"Florida";29;50;45;"";"Sep 13";"";"";"";"";"";"";"";"Monmouth U.-4"
84;251.5;2;"Florida";29;50;47;"";"Sep 08";"";"";"";"";"";"";"";"St. Pete polls-2"
85;249.5;16;"Florida";29;43;42;"";"Sep 13";"";"";"";"";"";"";"";"Kaiser/Cook-16"
86;247.5;10;"Florida";29;48;46;"";"Sep 08";"";"";"";"";"";"";"";"Benenson Strategy/GS Strategy-10"
87;247.0;7;"Florida";29;48;48;"";"Sep 06";"";"";"";"";"";"";"";"Marist Coll.-7"
88;245.0;5;"Florida";29;47;44;"";"Sep 03";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
89;243.0;5;"Florida";29;48;45;"";"Sep 01";"";"";"";"";"";"";"";"Quinnipiac U.-5"
90;238.5;10;"Florida";29;49;47;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
91;236.5;6;"Florida";29;50;43;"";"Aug 26";"";"";"";"";"";"";"";"Opinium-6"
92;234.5;2;"Florida";29;48;44;"";"Aug 22";"";"";"";"";"";"";"";"PPP-2"
93;229.0;1;"Florida";29;49;41;"";"Aug 16";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-1"
94;204.0;3;"Florida";29;43;43;"";"Jul 23";"";"";"";"";"";"";"";"Zogby Analytics-3"
95;203.5;4;"Florida";29;50;46;"";"Jul 23";"";"";"";"";"";"";"";"Mason Dixon-4"
96;203.5;10;"Florida";29;49;46;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
97;203.0;7;"Florida";29;51;46;"";"Jul 24";"";"";"";"";"";"";"";"SSRS-7"
98;202.0;3;"Florida";29;48;41;"";"Jul 21";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
99;200.0;5;"Florida";29;51;38;"";"Jul 20";"";"";"";"";"";"";"";"Quinnipiac U.-5"
100;195.5;2;"Florida";29;50;44;"";"Jul 14";"";"";"";"";"";"";"";"St. Pete polls-2"
101;190.5;4;"Florida";29;48;42;"";"Jul 10";"";"";"";"";"";"";"";"YouGov-4"
102;173.5;4;"Florida";29;49;40;"";"Jun 23";"";"";"";"";"";"";"";"Fox News-4"
103;166.5;2;"Florida";29;45;41;"";"Jun 15";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-2"
104;165.0;11;"Florida";29;47;41;"";"Jun 18";"";"";"";"";"";"";"";"Siena Coll.-11"
105;162.0;3;"Florida";29;51;40;"";"Jun 11";"";"";"";"";"";"";"";"TIPP-3"
106;147.5;2;"Florida";29;48;47;"";"May 27";"";"";"";"";"";"";"";"St. Pete Polls-2"
107;145.0;13;"Florida";29;47;44;"";"May 30";"";"";"";"";"";"";"";"Cygnal-13"
108;133.0;5;"Florida";29;45;43;"";"May 14";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
109;131.0;5;"Florida";29;53;47;"";"May 12";"";"";"";"";"";"";"";"Florida Atlantic U.-5"
110;110.5;4;"Florida";29;46;43;"";"Apr 21";"";"";"";"";"";"";"";"Fox News-4"
111;109.0;5;"Florida";29;46;42;"";"Apr 20";"";"";"";"";"";"";"";"Quinnipiac U.-5"
112;107.5;2;"Florida";29;48;48;"";"Apr 17";"";"";"";"";"";"";"";"St. Pete Polls-2"
113;93.0;5;"Florida";29;46;40;"";"Apr 04";"";"";"";"";"";"";"";"U. of North Florida-5"
114;75.0;3;"Florida";29;45;45;"";"Mar 16";"";"";"";"";"";"";"";"AtlasIntel-3"
115;69.0;7;"Florida";29;45;48;"";"Mar 12";"";"";"";"";"";"";"";"Latino Decisions-7"
116;66.0;3;"Florida";29;49;51;"";"Mar 07";"";"";"";"";"";"";"";"Florida Atlantic U.-3"
117;45.0;9;"Florida";29;49;48;"";"Feb 18";"";"";"";"";"";"";"";"U. of North Florida-9"
118;10.5;4;"Florida";29;51;49;"";"Jan 12";"";"";"";"";"";"";"";"Florida Atlantic U.-4"
119;267.5;4;"Georgia";16;46;47;"";"Sep 25";"";"";"";"";"";"";"";"YouGov-4"
120;263.0;5;"Georgia";16;46;48;"";"Sep 21";"";"";"";"";"";"";"";"Monmouth U.-5"
121;262.5;6;"Georgia";16;45;45;"";"Sep 21";"";"";"";"";"";"";"";"Siena Coll.-6"
122;259.5;10;"Georgia";16;47;47;"";"Sep 20";"";"";"";"";"";"";"";"U. of Georgia-10"
123;258.0;5;"Georgia";16;45;46;"";"Sep 16";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
124;246.0;7;"Georgia";16;47;46;"";"Sep 05";"";"";"";"";"";"";"";"Fabrizio Ward/Hart Research-7"
125;238.5;10;"Georgia";16;49;46;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
126;238.0;11;"Georgia";16;52;46;"";"Aug 30";"";"";"";"";"";"";"";"HarrisX-11"
127;237.5;2;"Georgia";16;47;46;"";"Aug 25";"";"";"";"";"";"";"";"PPP-2"
128;220.0;3;"Georgia";16;46;44;"";"Aug 08";"";"";"";"";"";"";"";"SurveyUSA-3"
129;211.5;4;"Georgia";16;46;45;"";"Jul 31";"";"";"";"";"";"";"";"YouGov-4"
130;207.0;5;"Georgia";16;47;48;"";"Jul 27";"";"";"";"";"";"";"";"Monmouth U.-5"
131;205.5;2;"Georgia";16;46;45;"";"Jul 24";"";"";"";"";"";"";"";"PPP-2"
132;203.5;10;"Georgia";16;47;46;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
133;177.5;2;"Georgia";16;49;45;"";"Jun 26";"";"";"";"";"";"";"";"PPP-2"
134;173.5;4;"Georgia";16;47;45;"";"Jun 23";"";"";"";"";"";"";"";"Fox News-4"
135;164.5;2;"Georgia";16;48;46;"";"Jun 13";"";"";"";"";"";"";"";"PPP-2"
136;145.0;7;"Georgia";16;40;44;"";"May 27";"";"";"";"";"";"";"";"TargetSmart-7"
137;138.0;3;"Georgia";16;48;47;"";"May 18";"";"";"";"";"";"";"";"Civiqs-3"
138;117.0;3;"Georgia";16;44;45;"";"Apr 27";"";"";"";"";"";"";"";"Cygnal-3"
139;58.5;8;"Georgia";16;43;51;"";"Mar 02";"";"";"";"";"";"";"";"U. of Georgia-8"
140;2.0;1;"Hawaii";4;65;28;"";"Jan 02";"";"";"";"";"";"";"";"Election 2016-1"
141;2.0;1;"Idaho";4;29;58;"";"Jan 02";"";"";"";"";"";"";"";"Election 2016-1"
142;268.5;4;"Illinois";20;53;40;"";"Sep 26";"";"";"";"";"";"";"";"Victory Research-4"
143;210.5;10;"Indiana";11;38;55;"";"Aug 02";"";"";"";"";"";"";"";"Morning Consult-10"
144;143.0;3;"Indiana";11;39;49;"";"May 23";"";"";"";"";"";"";"";"Victoria Research-3"
145;102.5;4;"Indiana";11;39;52;"";"Apr 13";"";"";"";"";"";"";"";"Change Research-4"
146;264.0;5;"Iowa";6;46;49;"";"Sep 22";"";"";"";"";"";"";"";"Monmouth U.-5"
147;263.0;7;"Iowa";6;45;42;"";"Sep 22";"";"";"";"";"";"";"";"Siena Coll.-7"
148;259.5;4;"Iowa";6;47;47;"";"Sep 17";"";"";"";"";"";"";"";"Selzer-4"
149;246.0;7;"Iowa";6;45;47;"";"Sep 05";"";"";"";"";"";"";"";"Fabrizio Ward/Hart Research-7"
150;214.0;5;"Iowa";6;46;48;"";"Aug 03";"";"";"";"";"";"";"";"Monmouth U.-5"
151;210.5;4;"Iowa";6;40;41;"";"Jul 30";"";"";"";"";"";"";"";"RMG Research-4"
152;205.5;2;"Iowa";6;47;48;"";"Jul 24";"";"";"";"";"";"";"";"PPP-2"
153;160.5;4;"Iowa";6;43;44;"";"Jun 10";"";"";"";"";"";"";"";"Selzer-4"
154;159.0;3;"Iowa";6;46;46;"";"Jun 08";"";"";"";"";"";"";"";"Civiqs-3"
155;155.5;2;"Iowa";6;47;48;"";"Jun 04";"";"";"";"";"";"";"";"PPP-2"
156;121.5;2;"Iowa";6;46;48;"";"May 01";"";"";"";"";"";"";"";"PPP-2"
157;63.5;4;"Iowa";6;41;51;"";"Mar 05";"";"";"";"";"";"";"";"Selzer-4"
158;21.5;4;"Iowa";6;44;46;"";"Jan 23";"";"";"";"";"";"";"";"Siena Coll.-4"
159;220.0;5;"Kansas";6;41;48;"";"Aug 09";"";"";"";"";"";"";"";"SurveyUSA-5"
160;218.5;2;"Kansas";6;43;50;"";"Aug 06";"";"";"";"";"";"";"";"PPP-2"
161;152.0;3;"Kansas";6;40;52;"";"Jun 01";"";"";"";"";"";"";"";"Civiqs-3"
162;70.5;2;"Kansas";6;40;52;"";"Mar 11";"";"";"";"";"";"";"";"PPP-2"
163;33.5;8;"Kansas";6;43;51;"";"Feb 06";"";"";"";"";"";"";"";"DFM Research-8"
164;256.0;5;"Kentucky";8;38;58;"";"Sep 14";"";"";"";"";"";"";"";"Quinnipiac U.-5"
165;214.0;5;"Kentucky";8;41;50;"";"Aug 03";"";"";"";"";"";"";"";"Quinnipiac U.-5"
166;210.5;10;"Kentucky";8;35;59;"";"Aug 02";"";"";"";"";"";"";"";"Morning Consult-10"
167;166.0;3;"Kentucky";8;37;57;"";"Jun 15";"";"";"";"";"";"";"";"Civiqs-3"
168;143.5;4;"Kentucky";8;36;53;"";"May 24";"";"";"";"";"";"";"";"RMG Research-4"
169;135.5;2;"Kentucky";8;39;55;"";"May 15";"";"";"";"";"";"";"";"PPP-2"
170;2.0;1;"Louisiana";8;38;58;"";"Jan 02";"";"";"";"";"";"";"";"Election 2016-1"
171;264.0;7;"Maine";4;50;39;"";"Sep 23";"";"";"";"";"";"";"";"Colby Coll.-7"
172;262.5;4;"Maine";4;51;39;"";"Sep 20";"";"";"";"";"";"";"";"Suffolk U.-4"
173;257.5;6;"Maine";4;55;38;"";"Sep 16";"";"";"";"";"";"";"";"Siena Coll.-6"
174;256.0;5;"Maine";4;59;38;"";"Sep 14";"";"";"";"";"";"";"";"Quinnipiac U.-5"
175;246.0;7;"Maine";4;54;40;"";"Sep 05";"";"";"";"";"";"";"";"Fabrizio Ward/Hart Research-7"
176;216.0;13;"Maine";4;45;38;"";"Aug 09";"";"";"";"";"";"";"";"Critical Insights-13"
177;214.0;5;"Maine";4;52;37;"";"Aug 03";"";"";"";"";"";"";"";"Quinnipiac U.-5"
178;212.0;7;"Maine";4;50;39;"";"Aug 02";"";"";"";"";"";"";"";"RMG Research-7"
179;205.5;2;"Maine";4;53;42;"";"Jul 24";"";"";"";"";"";"";"";"PPP-2"
180;203.0;7;"Maine";4;50;38;"";"Jul 24";"";"";"";"";"";"";"";"Colby College-7"
181;184.5;2;"Maine";4;53;42;"";"Jul 03";"";"";"";"";"";"";"";"PPP-2"
182;62.5;2;"Maine";4;52;42;"";"Mar 03";"";"";"";"";"";"";"";"PPP-2"
183;251.5;8;"Maryland";10;62;30;"";"Sep 11";"";"";"";"";"";"";"";"OpinionWorks-8"
184;142.0;5;"Maryland";10;59;35;"";"May 23";"";"";"";"";"";"";"";"Gonzales Research-5"
185;47.0;7;"Maryland";10;60;35;"";"Feb 19";"";"";"";"";"";"";"";"Goucher Coll.-7"
186;239.0;3;"Massachusetts";11;69;31;"";"Aug 27";"";"";"";"";"";"";"";"Emerson Coll.-3"
187;220.5;4;"Massachusetts";11;63;27;"";"Aug 09";"";"";"";"";"";"";"";"MassINC-4"
188;216.5;8;"Massachusetts";11;61;28;"";"Aug 07";"";"";"";"";"";"";"";"YouGov-8"
189;200.5;4;"Massachusetts";11;55;23;"";"Jul 20";"";"";"";"";"";"";"";"MassINC-4"
190;126.5;2;"Massachusetts";11;67;33;"";"May 06";"";"";"";"";"";"";"";"Emerson Coll.-2"
191;120.0;5;"Massachusetts";11;58;30;"";"May 01";"";"";"";"";"";"";"";"U. of Mass.-5"
192;96.5;4;"Massachusetts";11;69;31;"";"Apr 07";"";"";"";"";"";"";"";"Emerson Coll.-4"
193;265.0;5;"Michigan";16;52;44;"";"Sep 23";"";"";"";"";"";"";"";"Marist Coll.-5"
194;260.5;6;"Michigan";16;46;41;"";"Sep 19";"";"";"";"";"";"";"";"Marketing Resource Grp.-6"
195;259.5;12;"Michigan";16;51;45;"";"Sep 21";"";"";"";"";"";"";"";"YouGov-12"
196;259.0;15;"Michigan";16;50;42;"";"Sep 22";"";"";"";"";"";"";"";"Baldwin Wallace U.-15"
197;257.5;6;"Michigan";16;49;44;"";"Sep 16";"";"";"";"";"";"";"";"Ipsos-6"
198;257.0;3;"Michigan";16;49;39;"";"Sep 14";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
199;257.0;5;"Michigan";16;53;42;"";"Sep 15";"";"";"";"";"";"";"";"Civiqs-5"
200;256.5;6;"Michigan";16;48;40;"";"Sep 15";"";"";"";"";"";"";"";"EPIC-MRA-6"
201;246.5;2;"Michigan";16;53;44;"";"Sep 03";"";"";"";"";"";"";"";"Pulse Opinion Research-2"
202;246.5;12;"Michigan";16;50;43;"";"Sep 08";"";"";"";"";"";"";"";"Benenson Strategy/GS Strategy-12"
203;246.0;3;"Michigan";16;47;42;"";"Sep 03";"";"";"";"";"";"";"";"Glengariff Group-3"
204;245.0;5;"Michigan";16;51;40;"";"Sep 03";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
205;241.5;2;"Michigan";16;48;44;"";"Aug 29";"";"";"";"";"";"";"";"PPP-2"
206;238.5;10;"Michigan";16;52;42;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
207;230.0;3;"Michigan";16;50;38;"";"Aug 18";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
208;228.0;5;"Michigan";16;49;46;"";"Aug 17";"";"";"";"";"";"";"";"Civiqs-5"
209;214.0;11;"Michigan";16;47;43;"";"Aug 06";"";"";"";"";"";"";"";"YouGov-11"
210;210.5;2;"Michigan";16;49;43;"";"Jul 29";"";"";"";"";"";"";"";"PPP-2"
211;209.5;6;"Michigan";16;51;40;"";"Jul 30";"";"";"";"";"";"";"";"EPIC-MRA-6"
212;204.5;4;"Michigan";16;48;42;"";"Jul 24";"";"";"";"";"";"";"";"YouGov-4"
213;203.5;6;"Michigan";16;49;37;"";"Jul 24";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-6"
214;203.5;10;"Michigan";16;52;42;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
215;203.0;7;"Michigan";16;52;40;"";"Jul 24";"";"";"";"";"";"";"";"SSRS-7"
216;201.0;3;"Michigan";16;49;40;"";"Jul 20";"";"";"";"";"";"";"";"Fox News-3"
217;191.5;2;"Michigan";16;51;44;"";"Jul 10";"";"";"";"";"";"";"";"PPP-2"
218;178.5;2;"Michigan";16;50;44;"";"Jun 27";"";"";"";"";"";"";"";"PPP-2"
219;167.0;3;"Michigan";16;47;36;"";"Jun 16";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-3"
220;164.5;10;"Michigan";16;47;36;"";"Jun 17";"";"";"";"";"";"";"";"Siena Coll.-10"
221;162.5;4;"Michigan";16;51;38;"";"Jun 12";"";"";"";"";"";"";"";"TIPP-4"
222;155.5;8;"Michigan";16;50;35;"";"Jun 07";"";"";"";"";"";"";"";"Kiaer Research-8"
223;153.0;5;"Michigan";16;53;41;"";"Jun 03";"";"";"";"";"";"";"";"EPIC-MRA-5"
224;150.5;2;"Michigan";16;50;44;"";"May 30";"";"";"";"";"";"";"";"PPP-2"
225;139.5;2;"Michigan";16;51;45;"";"May 19";"";"";"";"";"";"";"";"PPP-2"
226;133.0;5;"Michigan";16;47;39;"";"May 14";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-5"
227;119.5;2;"Michigan";16;50;42;"";"Apr 29";"";"";"";"";"";"";"";"PPP-2"
228;111.5;2;"Michigan";16;51;44;"";"Apr 21";"";"";"";"";"";"";"";"PPP-2"
229;110.5;4;"Michigan";16;49;41;"";"Apr 21";"";"";"";"";"";"";"";"Fox News-4"
230;108.5;6;"Michigan";16;46;38;"";"Apr 20";"";"";"";"";"";"";"";"Ipsos-6"
231;81.0;9;"Michigan";16;47;42;"";"Mar 25";"";"";"";"";"";"";"";"Baldwin Wallace U.-9"
232;78.0;5;"Michigan";16;44;41;"";"Mar 20";"";"";"";"";"";"";"";"Marketing Resource-5"
233;68.0;3;"Michigan";16;44;46;"";"Mar 09";"";"";"";"";"";"";"";"AtlasIntel-3"
234;67.0;3;"Michigan";16;45;41;"";"Mar 08";"";"";"";"";"";"";"";"YouGov-3"
235;66.5;4;"Michigan";16;48;41;"";"Mar 08";"";"";"";"";"";"";"";"Monmouth U.-4"
236;46.5;10;"Michigan";16;46;43;"";"Feb 20";"";"";"";"";"";"";"";"YouGov-10"
237;46.0;7;"Michigan";16;47;43;"";"Feb 18";"";"";"";"";"";"";"";"Quinnipiac U.-7"
238;43.0;13;"Michigan";16;43;43;"";"Feb 18";"";"";"";"";"";"";"";"Expedition Strategies-13"
239;10.5;4;"Michigan";16;50;44;"";"Jan 12";"";"";"";"";"";"";"";"EPIC-MRA-4"
240;5.0;5;"Michigan";16;50;43;"";"Jan 07";"";"";"";"";"";"";"";"Glengariff-5"
241;266.0;3;"Minnesota";10;48;42;"";"Sep 23";"";"";"";"";"";"";"";"Mason Dixon-3"
242;266.0;5;"Minnesota";10;47;40;"";"Sep 24";"";"";"";"";"";"";"";"Suffolk U.-5"
243;258.5;6;"Minnesota";10;51;42;"";"Sep 17";"";"";"";"";"";"";"";"Redfield and Wilton Strategies-6"
244;254.5;6;"Minnesota";10;57;41;"";"Sep 13";"";"";"";"";"";"";"";"Langer Research-6"
245;254.0;3;"Minnesota";10;50;41;"";"Sep 11";"";"";"";"";"";"";"";"YouGov-3"
246;253.0;3;"Minnesota";10;50;41;"";"Sep 10";"";"";"";"";"";"";"";"Siena Coll.-3"
247;252.5;10;"Minnesota";10;48;44;"";"Sep 13";"";"";"";"";"";"";"";"Morning Consult-10"
248;249.5;4;"Minnesota";10;49;40;"";"Sep 07";"";"";"";"";"";"";"";"SurveyUSA-4"
249;247.5;2;"Minnesota";10;52;44;"";"Sep 04";"";"";"";"";"";"";"";"PPP-2"
250;238.5;10;"Minnesota";10;50;43;"";"Aug 30";"";"";"";"";"";"";"";"Morning Consult-10"
251;222.0;3;"Minnesota";10;51;49;"";"Aug 10";"";"";"";"";"";"";"";"Emerson Coll.-3"
252;204.5;2;"Minnesota";10;52;42;"";"Jul 23";"";"";"";"";"";"";"";"PPP-2"
253;203.5;10;"Minnesota";10;47;44;"";"Jul 26";"";"";"";"";"";"";"";"Morning Consult-10"
254;201.0;3;"Minnesota";10;51;38;"";"Jul 20";"";"";"";"";"";"";"";"Fox News-3"
