Day,Len,State,Dem,GOP,Ind,Date,Pollster
268.5,4,Michigan,51,42,,Sep-26,Redfield and Wilton Strategies-4
265,5,Michigan,52,44,,Sep-23,Marist Coll.-5
260.5,6,Michigan,46,41,,Sep-19,Marketing Resource Grp.-6
259.5,12,Michigan,51,45,,Sep-21,YouGov-12
259,15,Michigan,50,42,,Sep-22,Baldwin Wallace U.-15
257.5,6,Michigan,49,44,,Sep-16,Ipsos-6
257,3,Michigan,49,39,,Sep-14,Redfield and Wilton Strategies-3
257,5,Michigan,53,42,,Sep-15,Civiqs-5
256.5,6,Michigan,48,40,,Sep-15,EPIC-MRA-6
246.5,2,Michigan,53,44,,Sep-03,Pulse Opinion Research-2
246.5,12,Michigan,50,43,,Sep-08,Benenson Strategy/GS Strategy-12
246,3,Michigan,47,42,,Sep-03,Glengariff Group-3
245,5,Michigan,51,40,,Sep-03,Redfield and Wilton Strategies-5
241.5,2,Michigan,48,44,,Aug-29,PPP-2
238.5,10,Michigan,52,42,,Aug-30,Morning Consult-10
230,3,Michigan,50,38,,Aug-18,Redfield and Wilton Strategies-3
228,5,Michigan,49,46,,Aug-17,Civiqs-5
214,11,Michigan,47,43,,Aug-06,YouGov-11
210.5,2,Michigan,49,43,,Jul-29,PPP-2
209.5,6,Michigan,51,40,,Jul-30,EPIC-MRA-6
204.5,4,Michigan,48,42,,Jul-24,YouGov-4
203.5,6,Michigan,49,37,,Jul-24,Redfield and Wilton Strategies-6
203.5,10,Michigan,52,42,,Jul-26,Morning Consult-10
203,7,Michigan,52,40,,Jul-24,SSRS-7
201,3,Michigan,49,40,,Jul-20,Fox News-3
191.5,2,Michigan,51,44,,Jul-10,PPP-2
178.5,2,Michigan,50,44,,Jun-27,PPP-2
167,3,Michigan,47,36,,Jun-16,Redfield and Wilton Strategies-3
164.5,10,Michigan,47,36,,Jun-17,Siena Coll.-10
162.5,4,Michigan,51,38,,Jun-12,TIPP-4
155.5,8,Michigan,50,35,,Jun-07,Kiaer Research-8
153,5,Michigan,53,41,,Jun-03,EPIC-MRA-5
150.5,2,Michigan,50,44,,May-30,PPP-2
139.5,2,Michigan,51,45,,May-19,PPP-2
133,5,Michigan,47,39,,May-14,Redfield and Wilton Strategies-5
119.5,2,Michigan,50,42,,Apr-29,PPP-2
111.5,2,Michigan,51,44,,Apr-21,PPP-2
110.5,4,Michigan,49,41,,Apr-21,Fox News-4
108.5,6,Michigan,46,38,,Apr-20,Ipsos-6
81,9,Michigan,47,42,,Mar-25,Baldwin Wallace U.-9
78,5,Michigan,44,41,,Mar-20,Marketing Resource-5
68,3,Michigan,44,46,,Mar-09,AtlasIntel-3
67,3,Michigan,45,41,,Mar-08,YouGov-3
66.5,4,Michigan,48,41,,Mar-08,Monmouth U.-4
46.5,10,Michigan,46,43,,Feb-20,YouGov-10
46,7,Michigan,47,43,,Feb-18,Quinnipiac U.-7
43,13,Michigan,43,43,,Feb-18,Expedition Strategies-13
10.5,4,Michigan,50,44,,Jan-12,EPIC-MRA-4
5,5,Michigan,50,43,,Jan-07,Glengariff-5
266,3,Minnesota,48,42,,Sep-23,Mason Dixon-3
266,5,Minnesota,47,40,,Sep-24,Suffolk U.-5
258.5,6,Minnesota,51,42,,Sep-17,Redfield and Wilton Strategies-6
254.5,6,Minnesota,57,41,,Sep-13,Langer Research-6
254,3,Minnesota,50,41,,Sep-11,YouGov-3
253,3,Minnesota,50,41,,Sep-10,Siena Coll.-3
252.5,10,Minnesota,48,44,,Sep-13,Morning Consult-10
249.5,4,Minnesota,49,40,,Sep-07,SurveyUSA-4
247.5,2,Minnesota,52,44,,Sep-04,PPP-2
238.5,10,Minnesota,50,43,,Aug-30,Morning Consult-10
222,3,Minnesota,51,49,,Aug-10,Emerson Coll.-3
204.5,2,Minnesota,52,42,,Jul-23,PPP-2
203.5,10,Minnesota,47,44,,Jul-26,Morning Consult-10
201,3,Minnesota,51,38,,Jul-20,Fox News-3
140,3,Minnesota,49,44,,May-20,Mason-Dixon Polling-3
58,3,Mississippi,41,56,,Feb-28,Mason-Dixon-3
260.5,2,Missouri,45,53,,Sep-17,Missouri Scout-2
246,3,Missouri,44,49,,Sep-03,We Ask America-3
179,9,Missouri,43,50,,Jul-01,YouGov-9
147.5,2,Missouri,44,48,,May-27,We Ask America-2
57.5,2,Missouri,42,52,,Feb-27,Remington Research-2
259,3,Montana,42,49,,Sep-16,Siena Coll.-3
246,7,Montana,43,50,,Sep-05,Fabrizio Ward/Hart Research-7
214,3,Montana,42,53,,Aug-02,Emerson Coll.-3
205.5,2,Montana,45,50,,Jul-24,PPP-2
194,3,Montana,45,49,,Jul-13,Civiqs-3
191.5,2,Montana,42,51,,Jul-10,PPP-2
173.5,10,Montana,38,52,,Jun-26,U. of Montana-10
109.5,18,Montana,40,45,,Apr-27,Montana State U.-18
48,11,Montana,34,46,,Feb-22,U. of Montana-11
2,1,Nebraska,33,61,,Jan-02,Election 2016-1
265.5,4,Nevada,52,41,,Sep-23,Fox News-4
261.5,16,Nevada,46,41,,Sep-25,U. of Nevada-16
253,3,Nevada,46,42,,Sep-10,Siena Coll.-3
238,11,Nevada,44,39,,Aug-30,U. of Nevada-11
51,3,Nevada,44,41,,Feb-21,AtlasIntel-3
6.5,4,Nevada,47,39,,Jan-08,Fox News-4
274.5,2,New Hampshire,53,45,,Oct-01,Emerson Coll.-2
270,5,New Hampshire,53,44,,Sep-28,U. of New Hampshire-5
268,3,New Hampshire,56,42,,Sep-25,Pulse Opinion Research-3
265,9,New Hampshire,53,44,,Sep-25,U. of Mass.-9
253.5,4,New Hampshire,45,42,,Sep-11,Siena Coll.-4
229,3,New Hampshire,51,43,,Aug-17,St. Anselm Coll.-3
204,13,New Hampshire,53,40,,Jul-28,U. of New Hampshire-13
172,5,New Hampshire,52,39,,Jun-22,U. of New Hampshire-5
166.5,4,New Hampshire,49,42,,Jun-16,St. Anselm College-4
137,5,New Hampshire,44,46,,May-18,U. of New Hampshire-5
116,5,New Hampshire,50,42,,Apr-27,St. Anselm College-5
53,7,New Hampshire,44,46,,Feb-25,U. of New Hampshire-7
40,3,New Hampshire,44,46,,Feb-10,AtlasIntel-3
21.5,4,New Hampshire,51,43,,Jan-23,Marist Coll.-4
249.5,4,New Jersey,58,40,,Sep-07,Emerson Coll.-4
222,9,New Jersey,52,33,,Aug-13,DKC Analytics-9
191.5,6,New Jersey,51,33,,Jul-12,DKC Analytics-6
123,5,New Jersey,54,35,,May-04,Quinnipiac U.-5
118,11,New Jersey,56,33,,May-02,Rutgers-Eagleton-11
108.5,4,New Jersey,54,38,,Apr-19,Monmouth U.-4
45,5,New Jersey,53,35,,Feb-16,Fairleigh Dickinson U.-5
242.5,8,New Mexico,54,39,,Sep-02,Research and Polling-8
164.5,2,New Mexico,53,39,,Jun-13,PPP-2
111.5,2,New Mexico,52,40,,Apr-21,PPP-2
4.5,4,New Mexico,54,46,,Jan-06,Emerson Coll.-4
272,3,New York,61,29,,Sep-29,Siena Coll.-3
234.5,2,New York,63,32,,Aug-22,PPP-2
176,3,New York,57,32,,Jun-25,Siena Coll.-3
140,5,New York,57,32,,May-21,Siena Coll.-5
123,5,New York,55,32,,May-04,Quinnipiac U.-5
112,5,New York,65,29,,Apr-23,Siena Coll.-5
84,5,New York,58,33,,Mar-26,Siena Coll.-5
49,5,New York,55,36,,Feb-20,Siena Coll.-5
268.5,4,North Carolina,47,45,,Sep-26,Redfield and Wilton Strategies-4
267.5,4,North Carolina,48,46,,Sep-25,YouGov-4
265.5,8,North Carolina,48,49,,Sep-25,U. of Mass.-8
264,5,North Carolina,46,45,,Sep-22,Meredith Coll.-5
262.5,4,North Carolina,44,45,,Sep-20,Harper Polling-4
261,3,North Carolina,51,49,,Sep-18,Emerson Coll.-3
257.5,4,North Carolina,47,45,,Sep-15,Redfield and Wilton Strategies-4
257.5,6,North Carolina,45,44,,Sep-16,Siena Coll.-6
257.5,6,North Carolina,47,47,,Sep-16,Ipsos-6
256.5,4,North Carolina,47,43,,Sep-14,Suffolk U.-4
255,5,North Carolina,47,47,,Sep-13,SurveyUSA-5
255,5,North Carolina,49,46,,Sep-13,SSRS-5
251.5,2,North Carolina,48,49,,Sep-08,Pulse Opinion Research-2
249.5,16,North Carolina,45,43,,Sep-13,Kaiser/Cook-16
246.5,12,North Carolina,48,48,,Sep-08,Benenson Strategy/GS Strategy-12
245,5,North Carolina,43,44,,Sep-03,Redfield and Wilton Strategies-5
243.5,4,North Carolina,48,46,,Sep-01,Monmouth U.-4
243.5,4,North Carolina,50,46,,Sep-01,Fox News-4
242.5,2,North Carolina,47,49,,Aug-30,East Carolina U.-2
238.5,10,North Carolina,49,47,,Aug-30,Morning Consult-10
231.5,10,North Carolina,49,46,,Aug-23,Morning Consult-10
229.5,2,North Carolina,44,46,,Aug-17,Redfield and Wilton Strategies-2
225.5,2,North Carolina,47,47,,Aug-13,East Carolina U.-2
222,3,North Carolina,49,51,,Aug-10,Emerson Coll.-3
221,5,North Carolina,45,44,,Aug-10,Harper Polling-5
219.5,2,North Carolina,47,48,,Aug-07,Pulse Opinion Research-2
212.5,2,North Carolina,49,46,,Jul-31,PPP-2
211.5,4,North Carolina,48,44,,Jul-31,YouGov-4
205.5,2,North Carolina,49,46,,Jul-24,PPP-2
204,3,North Carolina,44,40,,Jul-23,Zogby Analytics-3
203.5,10,North Carolina,47,47,,Jul-26,Morning Consult-10
202,3,North Carolina,43,42,,Jul-21,Redfield and Wilton Strategies-3
200,9,North Carolina,51,44,,Jul-22,Marist Coll.-9
189.5,2,North Carolina,50,46,,Jul-08,PPP-2
175.5,4,North Carolina,45,44,,Jun-25,East Carolina U.-4
174.5,2,North Carolina,48,46,,Jun-23,PPP-2
173.5,4,North Carolina,47,45,,Jun-23,Fox News-4
167.5,4,North Carolina,46,40,,Jun-17,Redfield and Wilton Strategies-4
165,11,North Carolina,49,40,,Jun-18,Siena Coll.-11
154.5,2,North Carolina,49,45,,Jun-03,PPP-2
148,3,North Carolina,44,47,,May-28,Harper Polling-3
137.5,10,North Carolina,42,42,,May-21,Neighborhood Research and Media-10
133,5,North Carolina,45,43,,May-14,Redfield and Wilton Strategies-5
132,5,North Carolina,47,47,,May-13,Meeting Street Insights-5
129,3,North Carolina,43,46,,May-09,East Carolina University-3
124,3,North Carolina,49,46,,May-04,Civiqs-3
118.5,2,North Carolina,47,40,,Apr-28,Meredith College-2
115.5,4,North Carolina,50,45,,Apr-26,SurveyUSA-4
111.5,2,North Carolina,49,46,,Apr-21,PPP-2
105.5,2,North Carolina,48,47,,Apr-15,PPP-2
97,3,North Carolina,42,49,,Apr-07,Harper Polling-3
58.5,2,North Carolina,48,46,,Feb-28,East Carolina U.-2
56,5,North Carolina,45,49,,Feb-27,Marist Coll.-5
48,5,North Carolina,46,44,,Feb-19,Climate Nexus-5
45.5,4,North Carolina,45,49,,Feb-16,WRAL-TV-4
45.5,4,North Carolina,49,45,,Feb-16,SurveyUSA-4
64,3,North Dakota,38,55,,Mar-05,DFM Research-3
30,5,North Dakota,38,57,,Feb-01,DFM Research-5
275,3,Ohio,47,47,,Oct-02,YouGov-3
265.5,4,Ohio,50,45,,Sep-23,Fox News-4
263,5,Ohio,48,47,,Sep-21,Quinnipiac U.-5
259,15,Ohio,45,44,,Sep-22,Baldwin Wallace U.-15
257,5,Ohio,45,48,,Sep-15,Civiqs-5
245.5,2,Ohio,51,47,,Sep-02,Pulse Opinion Research-2
238.5,10,Ohio,45,50,,Aug-30,Morning Consult-10
228,5,Ohio,47,47,,Aug-17,Civiqs-5
213,7,Ohio,47,46,,Aug-03,TargetSmart-7
204.5,4,Ohio,45,46,,Jul-24,YouGov-4
204,3,Ohio,43,41,,Jul-23,Zogby Analytics-3
203.5,10,Ohio,45,48,,Jul-26,Morning Consult-10
197.5,2,Ohio,50,46,,Jul-16,Pulse Opinion Research-2
186.5,22,Ohio,46,42,,Jul-15,U. of Akron-22
172,5,Ohio,46,45,,Jun-22,Quinnipiac U.-5
152.5,4,Ohio,45,43,,Jun-02,Fox News-4
130,3,Ohio,49,51,,May-10,Emerson Coll.-3
113.5,6,Ohio,45,44,,Apr-25,Baldwin Wallace U.-6
81,9,Ohio,43,47,,Mar-25,Baldwin Wallace U.-9
72.5,6,Ohio,49,45,,Mar-15,Marist Coll.-6
249,7,Oklahoma,35,60,,Sep-08,Sooner Poll-7
155.5,2,Oklahoma,36,55,,Jun-04,Amber Integrated-2
66.5,4,Oklahoma,33,57,,Mar-08,Amber Integrated-4
42.5,4,Oklahoma,34,62,,Feb-13,Cole Hargrave Snodgrass-4
271.5,4,Oregon,56,39,,Sep-29,Civiqs-4
249.5,6,Oregon,51,39,,Sep-08,DHM Research-6
275,3,Pennsylvania,49,42,,Oct-02,Siena Coll.-3
275,3,Pennsylvania,51,44,,Oct-02,YouGov-3
270,3,Pennsylvania,49,40,,Sep-27,Siena Coll.-3
269,3,Pennsylvania,50,45,,Sep-26,TIPP-3
268,3,Pennsylvania,50,44,,Sep-25,Redfield and Wilton Strategies-3
267.5,6,Pennsylvania,54,45,,Sep-26,Langer Research-6
265.5,4,Pennsylvania,51,44,,Sep-23,Fox News-4
261,7,Pennsylvania,48,42,,Sep-20,Franklin+Marshall Coll.-7
259.5,12,Pennsylvania,49,45,,Sep-21,YouGov-12
259,15,Pennsylvania,47,45,,Sep-22,Baldwin Wallace U.-15
257.5,6,Pennsylvania,49,46,,Sep-16,Ipsos-6
257,3,Pennsylvania,49,44,,Sep-14,Redfield and Wilton Strategies-3
257,5,Pennsylvania,52,45,,Sep-15,Civiqs-5
253.5,4,Pennsylvania,48,43,,Sep-11,Climate Nexus-4
248.5,4,Pennsylvania,51,44,,Sep-06,TargetSmart-4
247.5,8,Pennsylvania,53,44,,Sep-07,Marist Coll.-8
246.5,12,Pennsylvania,49,46,,Sep-08,Benenson Strategy/GS Strategy-12
245,5,Pennsylvania,48,43,,Sep-03,Redfield and Wilton Strategies-5
243,5,Pennsylvania,52,44,,Sep-01,Quinnipiac U.-5
242.5,4,Pennsylvania,49,46,,Aug-31,Monmouth U.-4
239,3,Pennsylvania,48,48,,Aug-27,Pulse Opinion Research-3
238.5,10,Pennsylvania,49,45,,Aug-30,Morning Consult-10
233,7,Pennsylvania,49,42,,Aug-23,Franklin+Marshall Coll.-7
229.5,2,Pennsylvania,48,41,,Aug-17,Redfield and Wilton Strategies-2
228,5,Pennsylvania,51,44,,Aug-17,Civiqs-5
227,7,Pennsylvania,49,45,,Aug-17,Muhlenberg Coll.-7
222,3,Pennsylvania,53,47,,Aug-10,Emerson Coll.-3
218.5,4,Pennsylvania,49,43,,Aug-07,YouGov-4
205,7,Pennsylvania,50,41,,Jul-26,Franklin+Marshall Coll.-7
204,3,Pennsylvania,44,43,,Jul-23,Zogby Analytics-3
203.5,10,Pennsylvania,50,42,,Jul-26,Morning Consult-10
202,3,Pennsylvania,48,41,,Jul-21,Redfield and Wilton Strategies-3
201,3,Pennsylvania,50,39,,Jul-20,Fox News-3
197.5,2,Pennsylvania,51,46,,Jul-16,Pulse Opinion Research-2
193,5,Pennsylvania,52,42,,Jul-13,Monmouth U.-5
167,3,Pennsylvania,49,39,,Jun-16,Redfield and Wilton Strategies-3
164,9,Pennsylvania,50,40,,Jun-16,Siena Coll.-9
133,5,Pennsylvania,48,39,,May-14,Redfield and Wilton Strategies-5
